County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Anderson,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,2.0,,,5.0,1.0,,,,,,,,1.0,,1.0,,,1.0,4.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,3.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,2.0,9.0,,,,,6.0,,1.0,,,1.0,,,,,,,,,,,69.0
Andrews,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,24.0
Angelina,,,,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,2.0,1.0,,,,,,,,3.0,7.0,,,8.0,2.0,,,,,,,,,1.0,,1.0,,2.0,3.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,2.0,,,,,,1.0,7.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,8.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,32.0,12.0,6.0,14.0,,,1.0,,3.0,,1.0,2.0,,,,,,,,,,,,,136.0
Aransas,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,5.0,1.0,,,,,,,,,,1.0,2.0,,3.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,7.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,6.0,4.0,3.0,14.0,,,,,1.0,,1.0,2.0,,,,,,,,2.0,3.0,,,,72.0
Archer,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,14.0
Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0
Atascosa,,,,,,,,,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,4.0,4.0,,,4.0,1.0,,,,,,,,3.0,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,19.0,2.0,3.0,7.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,78.0
Austin,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,2.0,,2.0,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,17.0,6.0,2.0,14.0,,,,,2.0,,1.0,3.0,,,,,,,,2.0,1.0,,,,88.0
Bailey,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bandera,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,2.0,7.0,,,2.0,,,,,1.0,1.0,,,,,,3.0,,4.0,3.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,22.0,7.0,3.0,10.0,1.0,,,,2.0,,1.0,3.0,,,,,,,,,,,,,90.0
Bastrop,,1.0,,,,1.0,2.0,,1.0,,2.0,,,,3.0,,,4.0,5.0,,,4.0,2.0,,,,1.0,,,,,,1.0,,12.0,28.0,,,14.0,6.0,,,,,4.0,,,8.0,4.0,1.0,13.0,,10.0,27.0,,,,,,1.0,,,,,,,4.0,5.0,,,1.0,1.0,,,,,,,,6.0,6.0,,3.0,,7.0,5.0,,,4.0,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,15.0,,,,,1.0,,1.0,3.0,,,,4.0,7.0,,,,,,,,1.0,169.0,32.0,15.0,118.0,,,1.0,3.0,15.0,,6.0,11.0,,,2.0,1.0,,,2.0,6.0,1.0,,,,619.0
Baylor,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Bee,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,6.0,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,7.0,,,,,,,1.0,1.0,,,,,,,,,,,,,34.0
Bell,,,,,,1.0,3.0,,,,3.0,,,,16.0,21.0,2.0,3.0,16.0,,6.0,8.0,11.0,,2.0,8.0,4.0,,,,1.0,2.0,8.0,1.0,14.0,31.0,,5.0,72.0,55.0,,1.0,,,8.0,,,14.0,5.0,6.0,26.0,2.0,33.0,42.0,,1.0,,1.0,3.0,1.0,,1.0,,,,,10.0,11.0,9.0,1.0,,1.0,,2.0,2.0,,,,3.0,12.0,82.0,,10.0,,5.0,3.0,2.0,7.0,,5.0,,2.0,,3.0,6.0,,1.0,5.0,,,,3.0,5.0,,3.0,2.0,,3.0,2.0,,1.0,,,3.0,2.0,12.0,,,21.0,25.0,,,,,5.0,,2.0,1.0,,1.0,,4.0,4.0,,,10.0,,,1.0,1.0,,372.0,81.0,41.0,268.0,,,3.0,3.0,37.0,,7.0,28.0,1.0,2.0,8.0,1.0,,2.0,5.0,9.0,13.0,,,,1611.0
