County,ACURA ZDX,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET EQUINOX EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FIAT 500E,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-70,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ ESPRINTER,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,XOS MDXT,XOS SV01,Grand Total
Anderson,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,2.0,,,,4.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,4.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,4.0,3.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,13.0,5.0,5.0,8.0,,,,,6.0,,1.0,,,,1.0,,,,,,,,,,,76.0
Andrews,,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0,2.0,1.0,4.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,29.0
Angelina,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,2.0,,,,,,1.0,1.0,3.0,7.0,,,,9.0,4.0,,,,,,,,,,,,4.0,,2.0,3.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,9.0,,3.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,8.0,,,,,,1.0,2.0,,,,,,,,,,,,37.0,13.0,7.0,17.0,,,3.0,,3.0,,2.0,,,1.0,,,,,,,,,,,,158.0
Aransas,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,1.0,,,1.0,1.0,,,,6.0,1.0,,,,,,,,,1.0,,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,5.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,5.0,4.0,2.0,17.0,,,,,1.0,,1.0,,,2.0,,,,,,,1.0,2.0,,,,77.0
Archer,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,16.0
Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Atascosa,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,3.0,5.0,,,,4.0,2.0,,1.0,,,,,,,,2.0,,3.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,20.0,3.0,4.0,9.0,,,,,2.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,91.0
Austin,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,5.0,,,2.0,,,,4.0,1.0,,,,,,,,,,,,2.0,,2.0,6.0,,,,1.0,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,2.0,,,,1.0,,,,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,17.0,7.0,1.0,16.0,,,1.0,,2.0,,2.0,,,5.0,,,,,,,1.0,1.0,,,,104.0
Bailey,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bandera,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,5.0,,2.0,,2.0,,,,,,1.0,1.0,,,,,,4.0,,4.0,3.0,,,,,,,,,,1.0,,,,,1.0,2.0,,1.0,,,,,,,,1.0,2.0,,1.0,,2.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,25.0,8.0,3.0,13.0,1.0,,,,5.0,,2.0,,,4.0,,,,,,,,,,,,108.0
